25,41,11:17:29
24.0,41.0,11:18:30
24.0,42.0,11:19:06
24.0,42.0,11:19:29
24.0,42.0,11:19:57
24.0,42.0,11:20:29
24.0,41.0,11:21:30
24.0,42.0,11:22:30
24.0,42.0,11:23:38
24.0,42.0,11:24:42
24.0,43.0,11:25:47
24.0,45.0,11:26:50
24.0,45.0,11:28:01
24.0,49.0,11:29:04
24.0,53.0,11:30:05
26.0,95.0,11:31:15
25.0,95.0,11:32:16
24.0,76.0,11:33:27
24.0,63.0,11:34:27
24.0,61.0,11:35:28
24.0,61.0,11:36:38
25.0,75.0,11:37:49
25.0,91.0,11:55:47
24.0,60.0,11:57:33
24.0,60.0,11:58:34
24.0,62.0,12:00:20
24.0,62.0,12:01:48
24.0,62.0,12:02:54
24.0,62.0,12:03:57
24.0,62.0,12:04:58
24.0,63.0,12:13:00
24.0,62.0,12:14:01
24.0,62.0,12:15:01
24.0,62.0,12:16:02
24.0,62.0,12:17:02
24.0,64.0,12:21:20
24.0,64.0,12:22:26
24.0,63.0,12:23:26
25.0,62.0,12:25:15
24.0,63.0,12:26:18
24.0,63.0,12:27:19
24.0,64.0,12:28:19
24.0,64.0,12:29:20
24.0,64.0,12:30:20
24.0,64.0,12:31:21
24.0,64.0,12:32:21
24.0,64.0,12:33:22
24.0,64.0,12:34:23
24.0,64.0,12:35:23
24.0,64.0,12:36:26
